year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2018,Indianapolis,363.0421,54,Barratt Asset Management,IN,2732004,Real Estate,1
2018,Nashua,81.1143,52,UNIQUE System Skills,NH,2725437,Education,3
2018,Bannockburn,238.0252,12,EBCG,IL,2725203,Insurance,1
2018,Chicago,72.296,9,AE Marketing Group,IL,2724000,Advertising & Marketing,3
2018,Middletown,1004.095,4,The Avail Group,NJ,2722069,Telecommunications,1
2018,Sherman Oaks,71.7921,14,Yepremyan Law Firm,CA,2721361,Business Products & Services,1
2018,Fricso,91.8659,13,DKBinnovative,TX,2721186,IT Services,2
2018,Addison,81.1456,14,Globe Runner,TX,2720115,Advertising & Marketing,1
2018,Santa Monica,154.3199,10,Mirrored Media,CA,2717184,Advertising & Marketing,2
2018,Atlanta,74.6751,20,Modo Modo Agency,GA,2712640,Advertising & Marketing,2
2018,Seattle,64.7084,17,Kucumber Skin Lounge,WA,2708203,Consumer Products & Services,2
2018,Norcross,135.9845,42,"College Hunks Hauling Junk and Moving (Atlanta, GA)",GA,2696420,Logistics & Transportation,2
2018,North Miami Beach,90.5848,8,Y Charter,FL,2696116,Travel & Hospitality,2
2018,Pasadena,195.1013,10,Law Offices of Paul P. Cheng,CA,2694012,Business Products & Services,1
2018,Columbia,1570.9532,14,Precision SEM,MO,2691822,Advertising & Marketing,1
2018,Dallas,655.4416,17,Adestra,TX,2687151,Advertising & Marketing,1
2018,Williamston,1502.5759,10,Three T's Properties,MI,2681382,Real Estate,1
2018,Fort Worth,346.3647,6,Tara Wilson Agency,TX,2679420,Advertising & Marketing,2
2018,Charleston,107.9744,8,Knowledge Capital Group,SC,2676882,Business Products & Services,2
2018,Arlington,2573.2289,16,Stealth-ISS Group,VA,2674218,IT Services,1
2018,South Salt Lake,258.5014,31,Spilt Ink,UT,2672725,Manufacturing,1
2018,Cedar Rapids,613.1579,23,Cargofy,IA,2672160,Logistics & Transportation,1
2018,North Myrtle Beach,456.4534,3,Anson Belt & Buckle,SC,2672145,Consumer Products & Services,1
2018,Lubbock,1492.6548,17,CieloIT,TX,2670054,IT Services,1
2018,Trenton,585.0792,143,Della Infotech,NJ,2666575,Human Resources,1
2018,Delray Beach,505.1931,23,Sigma Tax Pro,FL,2661004,Software,1
2018,South San Francisco,625.1794,49,Wallarm,CA,2660335,Security,1
2018,Hayward,359.0079,21,Fourandhalf,CA,2658133,Advertising & Marketing,1
2018,Reston,901.7751,17,Management Strategies,VA,2657509,Government Services,1
