 url, rank, city, company, country, growth, revenue, industry, yrs_on_list,Year
https://www.inc.com/profile/consultus,106,Lapusel,Consultus,Romania,2345.2849,6004128,Business Products & Services,2,2018
https://www.inc.com/profile/uab-granmax,107,Klaipedos M.,UAB Granmax,Lithuania,2338.7046,37608385,Agriculture & Natural Resources,1,2018
https://www.inc.com/profile/receipt-bank,108,London,Receipt Bank,United Kingdom,2317.2524,7566000,Software,1,2018
https://www.inc.com/profile/terra---nova-construct,109,Bucharest,Terra - Nova Construct,Romania,2316.6816,11407027,Construction,1,2018
https://www.inc.com/profile/brand-id-srl,110,Rome,Brand ID S.R.L.,Italy,2316.1525,6724249,IT Services,1,2018
https://www.inc.com/profile/desenio-ab,111,Stockholm,Desenio AB,Sweden,2299.3431,10416892,Advertising & Marketing,1,2018
https://www.inc.com/profile/invest-servis,112,"Domodedovo, Mkr Aviatsionnyi",Invest-Servis,Russian Federation,2295.2278,19920942,Retail,1,2018
https://www.inc.com/profile/sabba-srl,113,Napoli,S.Abba S.R.L.,Italy,2292.7022,5950794,Construction,2,2018
https://www.inc.com/profile/locatrans,114,Bourg En Bresse,Locatrans,France,2292.6704,12476532,Travel & Hospitality,1,2018
https://www.inc.com/profile/belgian-advanced-technology-systems,115,Angleur,Belgian Advanced Technology Systems,Belgium,2284.6889,20395028,Computer Hardware,2,2018
https://www.inc.com/profile/imperial-development,116,Cluj-Napoca,Imperial Development,Romania,2281.3404,21650552,Energy,1,2018
https://www.inc.com/profile/regent-gold,117,"Agalatovskoe Selskoe Poselenie, D. Skotnoe",Regent Gold,Russian Federation,2275.8328,36066877,Retail,1,2018
https://www.inc.com/profile/dcmn,118,Berlin,DCMN,Germany,2268.332,41511247,Advertising & Marketing,2,2018
https://www.inc.com/profile/proizvodstvennoe-obyedinenie-vtortsvetchermet,119,Samara,PROIZVODSTVENNOE OByEDINENIE VTORTSVETCHERMET,Russian Federation,2256.1152,6975397,Environmental Services,1,2018
https://www.inc.com/profile/hodmezovasarhelyi-utepito,120,Tiszakecske,Hodmezovasarhelyi Utepito,Hungary,2251.587,53884711,Government Services,1,2018
https://www.inc.com/profile/integrity360,121,Sandyford,Integrity360,Ireland,2247.3823,37483000,IT Services,1,2018
https://www.inc.com/profile/hellenic-trading-ab,122,Hovaas,Hellenic Trading AB,Sweden,2246.14,4928466,Business Products & Services,1,2018
https://www.inc.com/profile/complet-perfect-construct-srl,123,Bucharest,Complet Perfect Construct SRL,Romania,2228.3865,6338683,Construction,1,2018
https://www.inc.com/profile/inloop-sro,124,Prague,Inloop s.r.o.,Czech Republic,2221.3459,4665000,IT Services,1,2018
https://www.inc.com/profile/gousto,125,London,GOUSTO,United Kingdom,2211.7647,14541000,Food & Beverage,1,2018
https://www.inc.com/profile/terem-ead,126,Sofia,Terem EAD,Bulgaria,2191.1018,31060146,Business Products & Services,2,2018
https://www.inc.com/profile/joint-stock-company-de-heus,127,"Sobinka,G Lakinsk",Joint Stock Company De Heus,Russian Federation,2181.2911,161908727,Agriculture & Natural Resources,1,2018
https://www.inc.com/profile/money-man,128,Moscow,Money Man,Russian Federation,2180.7442,36279707,Financial Services,1,2018
https://www.inc.com/profile/uab-htr1,129,Vilnius,UAB Htr1,Lithuania,2176.6297,5094824,Logistics & Transportation,1,2018
https://www.inc.com/profile/ooo-rusled,130,Tomsk,OOO Rusled,Russian Federation,2162.0392,8649382,Manufacturing,1,2018
https://www.inc.com/profile/indaver-uk-limited,131,Harlow,Indaver UK Limited,United Kingdom,2157.4558,7219592,Environmental Services,1,2018
https://www.inc.com/profile/dinex-entreprenad-ab,132,Norsborg,Dinex Entreprenad AB,Sweden,2156.2217,5106326,Construction,1,2018
https://www.inc.com/profile/radiotelevision-co-sa,133,Maroussi,Radiotelevision CO. S.A.,Greece,2147.8278,15134737,Media,1,2018
https://www.inc.com/profile/mavis-realty,134,Saint-Petersburg,Mavis-Realty,Russian Federation,2142.7194,9145406,Real Estate,1,2018
https://www.inc.com/profile/alma-spa---agenzia-per-il-lavoro,135,Rome,Alma S.P.A. - Agenzia PER IL Lavoro,Italy,2121.5579,157556397,Human Resources,1,2018
https://www.inc.com/profile/kom-invest,136,Vladivostok,Kom-Invest,Russian Federation,2104.804,8590247,Retail,1,2018
https://www.inc.com/profile/farmacosmo-srl,137,Napoli,Farmacosmo S.R.L.,Italy,2094.0773,6776671,Retail,1,2018
https://www.inc.com/profile/the-belgian,138,Wolvertem,The Belgian,Belgium,2092.7443,8669190,Construction,1,2018
https://www.inc.com/profile/podryadchik,139,Irkutsk,Podryadchik,Russian Federation,2091.1043,30392654,Construction,1,2018
https://www.inc.com/profile/nordkinn-asset-management-ab,140,Stockholm,Nordkinn Asset Management AB,Sweden,2082.7543,8899482,Financial Services,1,2018
https://www.inc.com/profile/kompaniya-optima,141,Moscow,Kompaniya Optima,Russian Federation,2075.8432,6176566,Food & Beverage,1,2018
https://www.inc.com/profile/connexa-barnevern-as,142,Flateby,Connexa Barnevern AS,Norway,2073.8388,8026552,Health,1,2018
https://www.inc.com/profile/zakrytoe-aktsionernoe-obshchestvo-spetsavtomatika,143,G Ekaterinburg,Zakrytoe Aktsionernoe Obshchestvo Spetsavtomatika,Russian Federation,2059.2345,7808526,Construction,2,2018
https://www.inc.com/profile/afi-car-utilaje,144,Bucharest,AFI Car Utilaje,Romania,2052.0597,4774990,Manufacturing,1,2018
